Unnamed: 0,Authors,Title,Year,Link,Authors with Affiliations,Abstract
0,Dan Ringwalt;Roger B. Dannenberg,Image Quality Estimation for Multi-Score OMR.,2015,https://doi.org/10.5281/zenodo.1414890,Dan Ringwalt+Carnegie Mellon University>USA>education;Roger B. Dannenberg+Carnegie Mellon University>USA>education,"Optical music recognition (OMR) is the recognition of images of musical scores. Recent research has suggested aligning the results of OMR from multiple scores of the same work (multi-score OMR, MS-OMR) to improve accuracy. As a simpler alternative, we have developed features which predict the quality of a given score, allowing us to select the highest-quality score to use for OMR. Furthermore, quality may be used to weight each score in an alignment, which should improve existing systems’ robustness. Using commercial OMR software on a test set of MIDI recordings and multiple corresponding scores, our predicted OMR accuracy is weakly but significantly correlated with the true accuracy. Improved features should be able to produce highly consistent results."
1,Daniel Wolff;Andrew MacFarlane 0001;Tillman Weyde,Comparative Music Similarity Modelling Using Transfer Learning Across User Groups.,2015,https://doi.org/10.5281/zenodo.1417835,Daniel Wolff+City University London>GBR>education;Andrew MacFarlane+City University London>GBR>education;Tillman Weyde+City University London>GBR>education,"We introduce a new application of transfer learning for training and comparing music similarity models based on relative user data: The proposed Relative Information-Theoretic Metric Learning (RITML) algorithm adapts a Mahalanobis distance using an iterative application of the ITML algorithm, thereby extending it to relative similarity data. RITML supports transfer learning by training models with respect to a given template model that can provide prior information for regularisation. With this feature we use information from larger datasets to build better models for more specific datasets, such as user groups from different cultures or of different age. We then evaluate what model parameters, in this case acoustic features, are relevant for the specific models when compared to the general user data. We to this end introduce the new CASimIR dataset, the first openly available relative similarity dataset with user attributes. With two age-related subsets, we show that transfer learning with RITML leads to better age-specific models. RITML here improves learning on small datasets. Using the larger MagnaTagATune dataset, we show that RITML performs as well as state-of-the-art algorithms in terms of general similarity estimation."
2,Matthew Prockup;Andreas F. Ehmann;Fabien Gouyon;Erik M. Schmidt;Òscar Celma;Youngmoo E. Kim,Modeling Genre with the Music Genome Project: Comparing Human-Labeled Attributes and Audio Features.,2015,https://doi.org/10.5281/zenodo.1417523,Matthew Prockup+Drexel University>USA>education|Pandora Media Inc.>USA>company;Andreas F. Ehmann+Drexel University>USA>education|Pandora Media Inc.>USA>company;Fabien Gouyon+Drexel University>USA>education|Pandora Media Inc.>USA>company;Erik M. Schmidt+Drexel University>USA>education|Pandora Media Inc.>USA>company;Oscar Celma+Drexel University>USA>education|Pandora Media Inc.>USA>company;Youngmoo E. Kim+Drexel University>USA>education|Pandora Media Inc.>USA>company,"Genre provides one of the most convenient categorizations of music, but it is often regarded as a poorly defined or largely subjective musical construct. In this work, we provide evidence that musical genres can to a large extent be objectively modeled via a combination of musical attributes. We employ a data-driven approach utilizing a subset of 48 hand-labeled musical attributes comprising instrumentation, timbre, and rhythm across more than one million examples from Pandora Internet Radio’s Music Genome Project. A set of audio features motivated by timbre and rhythm are then implemented to model genre both directly and through audio-driven models derived from the hand-labeled musical attributes. In most cases, machine learning models built directly from hand-labeled attributes outperform models based on audio features. Among the audio-based models, those that combine audio features and learned musical attributes perform better than those derived from audio features alone."
3,Christopher J. Tralie;Paul Bendich,Cover Song Identification with Timbral Shape Sequences.,2015,https://doi.org/10.5281/zenodo.1416824,Christopher J. Tralie+Duke University>USA>education|Duke University>USA>education;Paul Bendich+Duke University>USA>education|Duke University>USA>education,"We introduce a novel low level feature for identifying cover songs which quantifies the relative changes in the smoothed frequency spectrum of a song. Our key insight is that a sliding window representation of a chunk of audio can be viewed as a time-ordered point cloud in high dimensions. For corresponding chunks of audio between different versions of the same song, these point clouds are approximately rotated, translated, and scaled copies of each other. If we treat MFCC embeddings as point clouds and cast the problem as a relative shape sequence, we are able to correctly identify 42/80 cover songs in the “Covers 80” dataset. By contrast, all other work to date on cover songs exclusively relies on matching note sequences from Chroma derived features."
4,Christof Weiß;Maximilian Schaab,On the Impact of Key Detection Performance for Identifying Classical Music Styles.,2015,https://doi.org/10.5281/zenodo.1416246,Christof Weiß+Fraunhofer Institute for Digital Media Technology>DEU>facility|Fraunhofer Institute for Digital Media Technology>DEU>facility;Maximilian Schaab+Fraunhofer Institute for Digital Media Technology>DEU>facility|Fraunhofer Institute for Digital Media Technology>DEU>facility,"We study the automatic identification of Western classical music styles by directly using chroma histograms as classification features. Thereby, we evaluate the benefits of knowing a piece’s global key for estimating key-related pitch classes. First, we present four automatic key detection systems. We compare their performance on suitable datasets of classical music and optimize the algorithms’ free parameters. Using a second dataset, we evaluate automatic classification into the four style periods Baroque, Classical, Romantic, and Modern. To that end, we calculate global chroma statistics of each audio track. We then split up the tracks according to major and minor keys and circularly shift the chroma histograms with respect to the tonic note. Based on these features, we train two individual classifier models for major and minor keys. We test the efficiency of four chroma extraction algorithms for classification. Furthermore, we evaluate the impact of key detection performance on the classification results. Additionally, we compare the key-related chroma features to other chroma-based features. We obtain improved performance when using an efficient key detection method for shifting the chroma histograms."
5,Xinquan Zhou;Alexander Lerch,Chord Detection Using Deep Learning.,2015,https://doi.org/10.5281/zenodo.1416968,Xinquan Zhou+Georgia Institute of Technology>USA>education|Center for Music Technology>USA>education;Alexander Lerch+Georgia Institute of Technology>USA>education|Center for Music Technology>USA>education,"In this paper, we utilize deep learning to learn high-level features for audio chord detection. The learned features, obtained by a deep network in bottleneck architecture, give promising results and outperform state-of-the-art systems. We present and evaluate the results for various methods and configurations, including input pre-processing, a bottleneck architecture, and SVMs vs. HMMs for chord classification."
6,Cameron Summers;Phillip Popp,Temporal Music Context Identification with User Listening Data.,2015,https://doi.org/10.5281/zenodo.1415938,Cameron Summers+Gracenote>USA>company;Phillip Popp+Gracenote>USA>company,"The times when music is played can indicate context for listeners. From the peaceful song for waking up each morning to the traditional song for celebrating a holiday to an up-beat song for enjoying the summer, the relationship between the music and the temporal context is clearly important. For music search and recommendation systems, an understanding of these relationships provides a richer environment to discover and listen. But with the large number of tracks available in music catalogues today, manually labeling track-temporal context associations is difficult, time consuming, and costly. This paper examines track-day contexts with the purpose of identifying relationships with specific music tracks. Improvements are made to an existing method for classifying Christmas tracks and a generalization to the approach is shown that allows automated discovery of music for any day of the year. Analyzing the top 50 tracks obtained from this method for three well-known holidays, Halloween, Saint Patrick’s Day, and July 4th, precision@50 was 95%, 99%, and 73%, respectively."
7,Andreu Vall;Marcin Skowron;Peter Knees;Markus Schedl,Improving Music Recommendations with a Weighted Factorization of the Tagging Activity.,2015,https://doi.org/10.5281/zenodo.1416802,Andreu Vall+Johannes Kepler University>AUT>education;Marcin Skowron+Johannes Kepler University>AUT>education;Peter Knees+Johannes Kepler University>AUT>education;Markus Schedl+Johannes Kepler University>AUT>education,"Collaborative filtering systems for music recommendations are often based on implicit feedback derived from listening activity. Hybrid approaches further incorporate additional sources of information in order to improve the quality of the recommendations. In the context of a music streaming service, we present a hybrid model based on matrix factorization techniques that fuses the implicit feedback derived from the users’ listening activity with the tags that users have given to musical items. In contrast to existing work, we introduce a novel approach to exploit tags by performing a weighted factorization of the tagging activity. We evaluate the model for the task of artist recommendation, using the expected percentile rank as metric, extended with confidence intervals to enable the comparison between models. Thus, our contribution is twofold: (1) we introduce a novel model that uses tags to improve music recommendations and (2) we extend the evaluation methodology to compare the performance of different recommender systems."
8,Florian Krebs;Sebastian Böck;Gerhard Widmer,An Efficient State-Space Model for Joint Tempo and Meter Tracking.,2015,https://doi.org/10.5281/zenodo.1414966,Florian Krebs+Johannes Kepler University>AUT>education;Sebastian Böck+Johannes Kepler University>AUT>education;Gerhard Widmer+Johannes Kepler University>AUT>education,"Dynamic Bayesian networks (e.g., Hidden Markov Models) are popular frameworks for meter tracking in music because they are able to incorporate prior knowledge about the dynamics of rhythmic parameters (tempo, meter, rhythmic patterns, etc.). One popular example is the bar pointer model, which enables joint inference of these rhythmic parameters from a piece of music. While this allows the mutual dependencies between these parameters to be exploited, it also increases the computational complexity of the models. In this paper, we propose a new state-space discretisation and tempo transition model for this class of models that can act as a drop-in replacement and not only increases the beat and downbeat tracking accuracy, but also reduces time and memory complexity drastically. We incorporate the new model into two state-of-the-art beat and meter tracking systems, and demonstrate its superiority to the original models on six datasets."
9,Yu-Hui Huang;Xuanli Chen;Serafina Beck;David Burn;Luc J. Van Gool,Automatic Handwritten Mensural Notation Interpreter: From Manuscript to MIDI Performance.,2015,https://doi.org/10.5281/zenodo.1418267,Yu-Hui Huang+KU Leuven>BEL>education|ETH Zürich>CHE>education;Xuanli Chen+KU Leuven>BEL>education|ETH Zürich>CHE>education;Seraﬁna Beck+KU Leuven>BEL>education;David Burn+KU Leuven>BEL>education;Luc Van Gool+KU Leuven>BEL>education|ETH Zürich>CHE>education,"This paper presents a novel automatic recognition framework for hand-written mensural music. It takes a scanned manuscript as input and yields as output modern music scores. Compared to the previous mensural Optical Music Recognition (OMR) systems, ours shows not only promising performance in music recognition, but also works as a complete pipeline which integrates both recognition and transcription. There are three main parts in this pipeline: i) region-of-interest detection, ii) music symbol detection and classification, and iii) transcription to modern music. In addition to the output in modern notation, our system can generate a MIDI file as well. It provides an easy platform for the musicologists to analyze old manuscripts. Moreover, it renders these valuable cultural heritage resources available to non-specialists as well, as they can now access such ancient music in a better understandable form."
