Unnamed: 0,Authors,Title,Year,Link,Authors with Affiliations,Abstract
0,E. Allamanche;Jürgen Herre;Oliver Hellmuth;T. Kastner;C. Ertel,A multiple feature model for musical similarity retrieval.,2003,https://doi.org/10.5281/zenodo.1416684,"Eric Allamanche, Fraunhofer Institut Integrierte Schaltungen, IIS, DEU, facility;J¨urgen Herre, Fraunhofer Institut Integrierte Schaltungen, IIS, DEU, facility;Oliver Hellmuth, Fraunhofer Institut Integrierte Schaltungen, IIS, DEU, facility;Thorsten Kastner, Fraunhofer Institut Integrierte Schaltungen, IIS, DEU, facility;Christian Ertel, Fraunhofer Institut Integrierte Schaltungen, IIS, DEU, facility","""Despite the “fuzzy” nature of musical similarity, which varies from one person to another, perceptual low level features combined with appropriate classi- ﬁcation schemes have proven to perform satisfactorily for this task. Since a single feature only captures some selective characteristics of an audio signal, this information may, in some cases, not be sufﬁcient to properly identify similarities between songs. This pa- per presents a system which combines a set of acous- tic features for the task of retrieving similar sounding songs. The methodology for optimum feature selec- tion and combination is explained, and the system’s performance is assessed by means of a subjective lis- tening test."""
1,Vlora Arifi;Michael Clausen;Frank Kurth;Meinard Müller,"Automatic synchronization of music data in score-, MIDI- and PCM-format.",2003,https://doi.org/10.5281/zenodo.1417848,"Vlora Ariﬁ, Universität Bonn, Institut für Informatik III, DEU, education;Michael Clausen, Universität Bonn, Institut für Informatik III, DEU, education;Frank Kurth, Universität Bonn, Institut für Informatik III, DEU, education;Meinard Müller, Universität Bonn, Institut für Informatik III, DEU, education","""In this paper we present algorithms for the automatic time-synchronizationof score-, MIDI- or PCM- data streams representing the same polyphonic piano piece."""
2,David Bainbridge 0001;Sally Jo Cunningham;J. Stephen Downie,Analysis of queries to a Wizard-of-Oz MIR system: Challenging assumptions about what people really want.,2003,https://doi.org/10.5281/zenodo.1416850,"David Bainbridge, University of Waikato, NZL, education;Sally Jo Cunningham, University of Waikato, NZL, education;J. Stephen Downie, University of Illinois at Urbana-Champaign, USA, education","How do users of music information retrieval (MIR)
systems express their needs? Using a Wizard of Oz
approach to system evaluation, combined with a
grounded theory analysis of 502 real-world music
queries posted to Google Answers, this paper
addresses this pivotal question."
3,Adam Berenzweig;Beth Logan;Daniel P. W. Ellis;Brian Whitman,A large-scale evalutation of acoustic and subjective music similarity measures.,2003,https://doi.org/10.5281/zenodo.1417010,"Adam Berenzweig, LabROSA, Columbia University, USA, education;Beth Logan, HP Labs, USA, company;Daniel P.W. Ellis, LabROSA, Columbia University, USA, education;Brian Whitman, Music Mind & Machine Group, MIT Media Lab, USA, education","Subjective similarity between musical pieces and artists is an elusive concept, but one that must be pursued in support of applications to provide automatic organization of large music collections. In this paper, we examine both acoustic and subjective approaches for calculating similarity between artists, comparing their performance on a common database of 400 popular artists. Specifically, we evaluate acoustic techniques based on Mel-frequency cepstral coefficients and an intermediate ‘anchor space’ of genre classification, and subjective techniques which use data from The All Music Guide, from a survey, from playlists and personal collections, and from web-text mining. We find the following: (1) Acoustic-based measures can achieve agreement with ground truth data that is at least comparable to the internal agreement between different subjective sources. However, we observe significant differences between superficially similar distribution modeling and comparison techniques. (2) Subjective measures from diverse sources show reasonable agreement, with the measure derived from co-occurrence in personal music collections being the most reliable overall. (3) Our methodology for large-scale cross-site music similarity evaluations is practical and convenient, yielding directly comparable numbers for different approaches. In particular, we hope that our information-retrieval-based approach to scoring similarity measures, our paradigm of sharing common feature representations, and even our particular dataset of features for 400 artists, will be useful to other researchers."
4,Elaine Chew;Yun-Ching Chen,Determining context-defining windows: Pitch spelling using the spiral array.,2003,https://doi.org/10.5281/zenodo.1418037,"Elaine Chew, University of Southern California, USA, education;Yun-Ching Chen, University of Southern California, USA, education","""This paper presents algorithms for pitch spelling using the Spiral Array model. Accurate pitch spelling, assigning contextually consistent letter names to pitch numbers (for example, MIDI), is a critical component of music transcription and analysis systems. The local context is found to be more important than the global, but a combination of both achieves the best results."""
5,Roger B. Dannenberg;William P. Birmingham;George Tzanetakis;Colin Meek;Ning Hu;Bryan Pardo,The MUSART testbed for query-by-humming evaluation.,2003,https://doi.org/10.5281/zenodo.1415978,"Roger B. Dannenberg, Carnegie Mellon University, USA, education;William P. Birmingham, University of Michigan, USA, education;George Tzanetakis, University of Michigan, USA, education;Colin Meek, Carnegie Mellon University, USA, education;Ning Hu, Carnegie Mellon University, USA, education;Bryan Pardo, Carnegie Mellon University, USA, education","Evaluating music information retrieval systems is acknowledged to be a difficult problem. We have created a database and a software testbed for the systematic evaluation of various query-by-humming (QBH) search systems. As might be expected, different queries and different databases lead to wide variations in observed search precision. “Natural” queries from two sources led to lower performance than that typically reported in the QBH literature. These results point out the importance of careful measurement and objective comparisons to study retrieval algorithms. This study compares search algorithms based on note-interval matching with dynamic programming, fixed-frame melodic contour matching with dynamic time warping, and a hidden Markov model. An examination of scaling trends is encouraging: precision falls off very slowly as the database size increases. This trend is simple to compute and could be useful to predict performance on larger databases."
6,Stephen Davison,The Sheet Music Consortium: A Specialized Open Archives Initiative harvester project.,2003,https://doi.org/10.5281/zenodo.1417731,"Stephen Davison, University of California, Los Angeles, USA, education;Cynthia Requardt, The Johns Hopkins University, USA, education;Kristine Brancolini, Indiana University, USA, education","The Open Archives Initiative (OAI) Sheet Music Project is a consortium of institutions building OAI-compliant data providers, a metadata harvester, and a web-based service provider for digital sheet music collections. The project aims to test the viability of the OAI standard for providing access to sheet music collections on the web, and to build a permanent and increasingly participatory service for the discovery of digital sheet music. The service provider design has been informed by detailed usability testing, and by limitations imposed by the variations in metadata harvested from the different participating collections. Advanced services in addition to basic searching and browsing have been developed, including the ability to save and share subsets across participating collections. Harvesting and searching strategies for overcoming metadata limitations are being developed. The consortium is seeking additional participants with digital sheet music collections, and is exploring the possibility of incorporating scores and audio into the project."
7,Tom De Mulder;Jean-Pierre Martens;Micheline Lesaffre;Marc Leman;Bernard De Baets,An auditory model based transriber of vocal queries.,2003,https://doi.org/10.5281/zenodo.1416492,"Tom De Mulder, Ghent University, BEL, education;Jean-Pierre Martens, Ghent University, BEL, education;Micheline Lesaffre, Ghent University, BEL, education;Marc Leman, Ghent University, BEL, education;Bernard De Baets, Ghent University, BEL, education;Hans De Meyer, Ghent University, BEL, education","""In this paper a new auditory model-based transcriber of vocal melodic queries is presented. Our experiments show that the new system can transcribe queries with an accuracy between 76 % (whistling) and 85 % (singing with syllables), and that it outperforms four state-of-the-art systems it was compared with."""
8,Simon Dixon;Elias Pampalk;Gerhard Widmer,Classification of dance music by periodicity patterns.,2003,https://doi.org/10.5281/zenodo.1414936,"Simon Dixon, Austrian Research Institute for AI, AUT, facility;Elias Pampalk, Austrian Research Institute for AI, AUT, facility;Gerhard Widmer, Austrian Research Institute for AI, AUT, facility, Department of Medical Cybernetics and AI, University of Vienna, AUT, education","""This paper addresses the genre classiﬁcation prob-
lem for a speciﬁc subset of music, standard and Latin
ballroom dance music, using a classiﬁcation method
based only on timing information.
We compare
two methods of extracting periodicities from audio
recordings in order to ﬁnd the metrical hierarchy and
timing patterns by which the style of the music can
be recognised: the ﬁrst method performs onset detec-
tion and clustering of inter-onset intervals; the sec-
ond uses autocorrelation on the amplitude envelopes
of band-limited versions of the signal as its method
of periodicity detection. The relationships between
periodicities are then used to ﬁnd the metrical hierar-
chy and to estimate the tempo at the beat and measure
levels of the hierarchy. The periodicities are then in-
terpreted as musical note values, and the estimated
tempo, meter and the distribution of periodicities are
used to predict the style of music using a simple set
of rules. The methods are evaluated with a test set of
standard and Latin dance music, for which the style
and tempo are given on the CD cover, providing a
“ground truth” by which the automatic classiﬁcation
can be measured."""
9,Shyamala Doraisamy;Stefan M. Rüger,Position Indexing of Adjacent and Concurrent N-Grams for Polyphonic Music Retrieval.,2003,https://doi.org/10.5281/zenodo.1417919,"Shyamala Doraisamy, Imperial College London, GBR, education;Stefan Rüger, Imperial College London, GBR, education","In this paper we examine the retrieval performance of adjacent and concurrent n-grams generated from polyphonic music data.  We deploy a method to index polyphonic music using a word position indexer with the n-gram approach.  Using all possible combinations of monophonic sequences from polyphonic music data, “overlaying” word locations within a document are obtained, such as needed with polyphony (i.e. where more than one word can assume the same word position).  The feasibility in utilising the position information of polyphonic ‘musical words’ is investigated using various proximity-based and structured query operators available with text retrieval system.  Our experiments show that nested phrase operators improve the retrieval performance and we present the results of our comparative study on a collection of 5456 polyphonic pieces encoded in the MIDI format."
