,Authors,Titles,Year,Link,Authors with affiliations,Author Keywords
0,Lisa Kawai;Philippe  Esling;Tatsuya Harada,Attributes-aware Deep Music Transformation,2020,https://program.ismir2020.net/poster_5-06.html,"Lisa Kawai, University of Tokyo, Japan; Philippe  Esling, IRCAM, France; Tatsuya Harada, RIKEN, Japan","Musical features and properties,Musical style and genre,Applications,Music composition, performance, and production,MIR fundamentals and methodology,Metadata, tags, linked data, and semantic web,Symbolic music processing,Harmony, chords, and tonality"
1,Elena V. Epure;Guillaume Salha;Romain Hennequin,Multilingual Music Genre Embeddings for Effective Cross-lingual Music Item Annotation,2020,https://program.ismir2020.net/poster_6-05.html,"Elena V. Epure, Deezer Research; Guillaume Salha, Deezer Research; Romain Hennequin, Deezer Research","MIR fundamentals and methodology,Metadata, tags, linked data, and semantic web,Domain knowledge,Computational music theory and musicology,Representations of music,Lyrics and other textual data, web mining, and natural language processing,Musical features and properties,Musical style and genre"
2,Axel Marmoret;Jeremy Cohen;Frédéric Bimbot;Nancy Bertin,Uncovering Audio Patterns in Music with Nonnegative Tucker Decomposition for Structural Segmentation,2020,https://program.ismir2020.net/poster_6-03.html,"Axel Marmoret, University Rennes, INRIA, CNRS, IRISA, France; Jeremy Cohen, University Rennes, INRIA, CNRS, IRISA, France; Frédéric Bimbot, University Rennes, INRIA, CNRS, IRISA, France; Nancy Bertin, University Rennes, INRIA, CNRS, IRISA, France","MIR fundamentals and methodology,Music signal processing,Musical features and properties,Structure, segmentation, and form"
3,Ayush Patwari;Nicholas Kong;Jun Wang;Ullas Gargi;Michele Covell;Aren Jansen,Semantically Meaningful Attributes from Co-listen Embeddings for Playlist Exploration and Expansion,2020,https://program.ismir2020.net/poster_4-08.html,"Ayush Patwari, YouTube Music; Nicholas Kong, YouTube Music; Jun Wang, YouTube Music; Ullas Gargi, YouTube Music; Michele Covell, Google Research; Aren Jansen, Google Research","Applications,Music recommendation and playlist generation,MIR tasks,Automatic classification,Musical features and properties,Musical affect, emotion, and mood"
4,Helena Cuesta;Brian McFee;Emilia Gomez,Multiple F0 Estimation in Vocal Ensembles Using Convolutional Neural Networks,2020,https://program.ismir2020.net/poster_2-18.html,"Helena Cuesta, Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain; Brian McFee, Music and Audio Research Lab & Center for Data Science, New York University, USA; Emilia Gomez, European Commission, Joint Research Centre, Seville, Spain","MIR tasks,Music transcription and annotation,MIR fundamentals and methodology,Music signal processing,Musical features and properties,Melody and motives"
5,Taejun Kim;Minsuk Choi;Evan Sacks;Yi-Hsuan Yang;Juhan Nam,A Computational Analysis of Real-world DJ Mixes Using Mix-To-Track Subsequence Alignment,2020,https://program.ismir2020.net/poster_5-18.html,"Taejun Kim, Graduate School of Culture Technology, KAIST, South Korea; Minsuk Choi, Graduate School of Culture Technology, KAIST, South Korea; Evan Sacks, 1001Tracklists, USA; Yi-Hsuan Yang, Research Center for IT Innovation, Academia Sinica, Taiwan; Juhan Nam, Graduate School of Culture Technology, KAIST, South Korea","Applications,Music composition, performance, and production,Evaluation, datasets, and reproducibility,Novel datasets and use cases,MIR tasks,Alignment, synchronization, and score following,Musical features and properties,Structure, segmentation, and form"
6,Filip Korzeniowski;Oriol Nieto;Matthew McCallum;Minz Won;Sergio Oramas;Erik Schmidt,Mood Classification Using Listening Data,2020,https://program.ismir2020.net/poster_4-10.html,"Filip Korzeniowski, Pandora Media LLC., Oakland, California, USA; Oriol Nieto, Pandora Media LLC., Oakland, California, USA; Matthew McCallum, Pandora Media LLC., Oakland, California, USA; Minz Won, Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain; Sergio Oramas, Pandora Media LLC., Oakland, California, USA; Erik Schmidt, Netflix Inc., Los Gatos, California, USA","Musical features and properties,Musical affect, emotion, and mood,Applications,Music retrieval systems,MIR tasks,Automatic classification"
7,Louis Spinelli;Josephine Lau;Jin Ha Lee,User Perceptions Underlying Social Music Behavior,2020,https://program.ismir2020.net/poster_4-03.html,"Louis Spinelli, University of Washington; Josephine Lau, University of Washington; Jin Ha Lee, University of Washington","Human-centered MIR,Human-computer interaction and interfaces"
8,Luca Angioloni;Valentijn Borghuis;Lorenzo  Brusci;Paolo Frasconi,"Conlon: a Pseudo-song Generator Based on a New Pianoroll, Wasserstein Autoencoders, and Optimal Interpolations",2020,https://program.ismir2020.net/poster_6-14.html,"Luca Angioloni, DINFO, Università di Firenze, Italy; Valentijn Borghuis, Eindhoven University of Technology, The Netherlands; Lorenzo  Brusci, Musi-co, Eindhoven, The Netherlands; Paolo Frasconi, DINFO, Università di Firenze, Italy","Domain knowledge,Machine learning/Artificial intelligence for music,Applications,Music composition, performance, and production"
9,Jacob deGroot-Maggetti;Timothy R de Reuse;Laurent Feisthauer;Samuel Howes;Yaolong Ju;Suzuka Kokubu;Sylvain Margot;Néstor Nápoles López;Finn Upham,Data Quality Matters: Iterative Corrections on a Corpus of Mendelssohn String Quartets and Implications for MIR Analysis,2020,https://program.ismir2020.net/poster_3-14.html,"Jacob deGroot-Maggetti, Schuluch School of Music, McGill University, Canada; Timothy R de Reuse, Schuluich School of Music, McGill University, Canada; Laurent Feisthauer, Computational Tonal Study Group; Samuel Howes, Schulich School of Music, McGill University, Canada; Yaolong Ju, Schulich School of Music, McGill University, Canada; Suzuka Kokubu, Schulich School of Music, McGill University, Canada; Sylvain Margot, Schulich School of Music, McGill University, Canada; Néstor Nápoles López, Schulich School of Music, McGill University, Canada; Finn Upham, Schulich School of Music, McGill University, Canada","Evaluation, datasets, and reproducibility,Novel datasets and use cases,Applications,Music retrieval systems,Domain knowledge,Computational music theory and musicology,MIR fundamentals and methodology,Symbolic music processing,MIR tasks,Music transcription and annotation"
