,Authors,Titles,Year,Link,Authors with affiliations,Author Keywords
0,"Zhang, Yixiao; Jiang, Junyan; Xia, Gus; Dixon, Simon",Interpreting Song Lyrics with an Audio-Informed Pre-trained Language Model,2022,https://ismir2022program.ismir.net/poster_103.html,"Zhang, Yixiao, Centre for Digital Music, Queen Mary University of London, UK;  Jiang, Junyan, Music X Lab, NYU Shanghai;  Xia, Gus, MBZUAI;  Dixon, Simon, Centre for Digital Music, Queen Mary University of London, UK","lyrics and other textual data; web mining, and natural language processing; machine learning/artificial intelligence for music; novel datasets and use cases; multimodality"
1,"Chen, Tsung-Ping; Su, Li",Toward postprocessing-free neural networks for joint beat and downbeat estimation,2022,https://ismir2022program.ismir.net/poster_46.html,"Chen, Tsung-Ping, Institute of Information Science, Academia Sinica, Taiwan;  Su, Li, Institute of Information Science, Academia Sinica, Taiwan","Musical features and properties; rhythm, beat, tempo"
2,"Gover, Matan; Zewi, Oded",Music Translation: Generating Piano Arrangements in Different Playing Levels,2022,https://ismir2022program.ismir.net/poster_37.html,"Gover, Matan, Simply;  Zewi, Oded, Simply",music generation; musical style and genre; music synthesis and transformation; machine learning/artificial intelligence for music; symbolic music processing
3,"Simon, Ian; Gardner, Joshua; Hawthorne, Curtis; Manilow, Ethan; Engel, Jesse",Scaling Polyphonic Transcription with Mixtures of Monophonic Transcriptions,2022,https://ismir2022program.ismir.net/poster_287.html,"Simon, Ian, Google Research, Brain Team;  Gardner, Joshua, Google Research, Brain Team;  Hawthorne, Curtis, Google Research, Brain Team;  Manilow, Ethan, Google Research, Brain Team;  Engel, Jesse, Google Research, Brain Team","music signal processing; web mining, and natural language processing; machine learning/artificial intelligence for music; music transcription and annotation; symbolic music processing; novel datasets and use cases"
4,"Singh, Anup; Demuynck, Kris; Arora, Vipul",Attention-based audio embeddings for query-by-example,2022,https://ismir2022program.ismir.net/poster_100.html,"Singh, Anup, IDLab, Department of Electronics and Information Systems, imec, Ghent University, Belgium;  Demuynck, Kris, IDLab, Department of Electronics and Information Systems, imec, Ghent University, Belgium;  Arora, Vipul, Department of Electrical Engineering, Indian Institute of Technology Kanpur, India",fingerprinting; indexing and querying
5,"Björklund, Otso",SIATEC-C: Computationally efficient repeated pattern discovery in polyphonic music,2022,https://ismir2022program.ismir.net/poster_61.html,"Björklund, Otso, University of Helsinki",symbolic music processing; pattern matching and detection
6,"Vélez Vásquez, Marcel A; Burgoyne, John Ashley",Tailed U-Net: Multi-Scale Music Representation Learning,2022,https://ismir2022program.ismir.net/poster_109.html,"Vélez Vásquez, Marcel A, Music Cognition Group, Institute for Logic, Labguage and Computation, University of Amsterdam, The Netherlands;  Burgoyne, John Ashley, Music Cognition Group, Institute for Logic, Labguage and Computation, University of Amsterdam, The Netherlands","music signal processing; representations of music; representations of music; musical style and genre; machine learning/artificial intelligence for music; musical affect, emotion and mood"
7,"Wu, Da-Yi; Hsiao, Wen-Yi; Yang, Fu-Rong; Friedman, Oscar D; Jackson, Warren; bruzenak, scott; Liu, Yi-Wen ; Yang, Yi-Hsuan",DDSP-based Singing Vocoders: A New Subtractive-based Synthesizer and A Comprehensive Evaluation,2022,https://ismir2022program.ismir.net/poster_85.html,"Wu, Da-Yi, Academia Sinica;  Hsiao, Wen-Yi, Taiwan AI Labs;  Yang, Fu-Rong, National Ting Hua University;  Friedman, Oscar D, 470 Music Group;  Jackson, Warren, PARC;  bruzenak, scott, 470 Music Group;  Liu, Yi-Wen , National Ting Hua University;  Yang, Yi-Hsuan, Academia Sinica","music signal processing; machine learning/artificial intelligence for music; music synthesis and transformation; music generation; timbre, instrumentation, and singing voice"
8,"Quinton, Elio",Equivariant self-supervision for musical tempo estimation,2022,https://ismir2022program.ismir.net/poster_117.html,"Quinton, Elio, Universal Music Group","representations of music; rhythm, beat, tempo"
9,"Li, Yuqiang; Li, Shengchen; Fazekas, George",How Music features and Musical Data Representations Affect Objective Evaluation of Music Composition: A Review of CSMT Data Challenge 2020,2022,https://ismir2022program.ismir.net/poster_90.html,"Li, Yuqiang, Xi'an Jiaotong - Liverpool University;  Li, Shengchen, Xi'an Jiaotong - Liverpool University;  Fazekas, George, Queen Mary University Londo, UK","evaluation metrics; melody and motives; representations of music; rhythm, beat, tempo; evaluation methodology"
10,"Choi, Eunjin; Chung, Yoonjin; Lee, Seolhee; Jeon, JongIk; Kwon, Taegyun; Nam, Juhan",YM2413-MDB: A Multi-Instrumental FM Video Game Music Dataset with Emotion Annotations,2022,https://ismir2022program.ismir.net/poster_153.html,"Choi, Eunjin, Graduate School of Culture Technology, KAIST, South Korea;  Chung, Yoonjin, Graduate School of AI, KAIST, South Korea;  Lee, Seolhee, Graduate School of Culture Technology, KAIST, South Korea;  Jeon, JongIk, Department of Industrial Design, KAIST, South Korea;  Kwon, Taegyun, Graduate School of Culture Technology, KAIST, South Korea;  Nam, Juhan, Graduate School of Culture Technology, KAIST, South Korea","novel datasets and use cases; gaming, augmented/virtual reality; symbolic music processing; musical affect, emotion and mood; machine learning/artificial intelligence for music; music generation"
11,"Venkatesh, Anil; Sachdev, Viren",Detecting Symmetries of All Cardinalities With Application to Musical 12-Tone Rows,2022,https://ismir2022program.ismir.net/poster_133.html,"Venkatesh, Anil, Department of Mathematics and Computer Science, Adelphi University;  Sachdev, Viren, Department of Mathematics and Computer Science, Adelphi University","structure, segmentation, and form; computational music theory and musicology; representations of music; melody and motives"
12,"Kim, Jaehun; Liem, Cynthia C. S.",The power of deep without going deep? A study of HDPGMM music representation learning,2022,https://ismir2022program.ismir.net/poster_234.html,"Kim, Jaehun, Multimedia Computing Group, Delft University of Technology, The Netherlands;  Liem, Cynthia C. S., Multimedia Computing Group, Delft University of Technology, The Netherlands",similarity metrics; MIR tasks; music recommendation and playlist generation; automatic classification; machine learning/artificial intelligence for music; representations of music
13,"Naruse, Daiki; Takahata, Tomoyuki; Mukuta, Yusuke; Harada, Tatsuya",Pop Music Generation with Controllable Phrase Lengths,2022,https://ismir2022program.ismir.net/poster_322.html,"Naruse, Daiki, University of Tokyo, Japan;  Takahata, Tomoyuki, University of Tokyo, Japan;  Mukuta, Yusuke, RIKEN, Japan;  Harada, Tatsuya, RIKEN, Japan","music generation; representations of music; representations of music; structure, segmentation, and form; machine learning/artificial intelligence for music"
14,"Yeh, Yen-Tung ; Yang, Yi-Hsuan; Chen, Bo-Yu",Exploiting Pre-trained Feature Networks for Generative Adversarial Networks in Audio-domain Loop Generation,2022,https://ismir2022program.ismir.net/poster_169.html,"Yeh, Yen-Tung , Academia Sinica;  Yang, Yi-Hsuan, National Taiwan University;  Chen, Bo-Yu, Taiwan AI Labs",machine learning/artificial intelligence for music; representations of music; music synthesis and transformation; music generation
15,"zhang, daiyu; Wang, Ju-Chiang; Kosta, Katerina; Smith, Jordan B. L.; Zhou, Shicen",Modeling the rhythm from lyrics for melody generation of pop songs,2022,https://ismir2022program.ismir.net/poster_306.html,"zhang, daiyu, ByteDance;  Wang, Ju-Chiang, ByteDance;  Kosta, Katerina, ByteDance;  Smith, Jordan B. L., ByteDance;  Zhou, Shicen, ByteDance",multimodality; music generation
16,"Rau, Simeon; Heyen, Frank; Wagner, Stefan; Sedlmair, Michael",Visualization for AI-Assisted Composing,2022,https://ismir2022program.ismir.net/poster_217.html,"Rau, Simeon, VISUS, University of Stuttgart, Germany;  Heyen, Frank, VISUS, University of Stuttgart, Germany;  Wagner, Stefan, ISTE, University of Stuttgart, Germany;  Sedlmair, Michael, VISUS, University of Stuttgart, Germany",similarity metrics; Human-centered MIR; representations of music; music interfaces and services; music composition
17,"Abrams, Ellie Bean; Muñoz Vidal, Eva; Pelofi, Claire; Ripollés, Pablo",Retrieving musical information from neural data: how cognitive features enrich acoustic ones,2022,https://ismir2022program.ismir.net/poster_305.html,"Abrams, Ellie Bean, Music and Audio Research Laboratory, New York University, USA;  Muñoz Vidal, Eva, Center for Language, Music and Emotion, New York University, USA;  Pelofi, Claire, Center for Language, Music and Emotion, New York University, USA;  Ripollés, Pablo, Department of Psychology, New York University, USA","personalization; cognitive MIR; musical affect, emotion and mood; music recommendation and playlist generation"
18,"Zhao, Jingwei; Xia, Gus; Wang, Ye",Beat Transformer: Demixed Beat and Downbeat Tracking with Dilated Self-Attention,2022,https://ismir2022program.ismir.net/poster_72.html,"Zhao, Jingwei, Institute of Data Science, NUS;  Xia, Gus, Music X Lab, NYU Shanghai;  Wang, Ye, Integrative Sciences and Engineering Programme, NUS Graduate School","music retrieval systems; Musical features and properties; machine learning/artificial intelligence for music; rhythm, beat, tempo"
19,"Rhyu, Seungyeon; Kim, Sarah; Lee, Kyogu",Sketching the Expression: Flexible Rendering of Expressive Piano Performance with Self-Supervised Learning,2022,https://ismir2022program.ismir.net/poster_151.html,"Rhyu, Seungyeon, Music and Audio Research Group, Seoul National University, South Korea;  Kim, Sarah, Krust Universe, South Korea;  Lee, Kyogu, Graduate School of AI, AI Institute, Seoul National University, South Korea",expression and performative aspects of music; music generation
